sample_id	predict_score_0	predict_score_1
TCGA-BH-A28O	0.9458920955657959	0.054107870906591415
TCGA-A2-A0SV	0.0008366418187506497	0.9991633892059326
TCGA-AR-A2LE	0.999422550201416	0.0005774851888418198
TCGA-E9-A1NA	0.02561245858669281	0.9743875861167908
TCGA-BH-A28Q	0.9984240531921387	0.0015759343514218926
TCGA-AC-A2BM	0.9698875546455383	0.03011241741478443
TCGA-A1-A0SP	0.9998736381530762	0.0001263934391317889
TCGA-E9-A1QZ	0.9363446831703186	0.06365528702735901
TCGA-E2-A14U	0.9990529417991638	0.0009470716468058527
TCGA-B6-A0RN	0.9976761937141418	0.002323827939108014
TCGA-LL-A5YL	0.2797742486000061	0.7202258110046387
TCGA-LD-A7W5	0.9999170303344727	8.300312765641138e-05
TCGA-AR-A24Z	0.9880197644233704	0.011980262584984303
TCGA-D8-A1XT	0.13888493180274963	0.861115038394928
TCGA-BH-A0B8	0.9998363256454468	0.00016366199997719377
TCGA-AR-A256	0.9816173315048218	0.018382681533694267
TCGA-AC-A5XS	0.9266313314437866	0.0733686238527298
TCGA-AR-A24R	0.010302643291652203	0.989697277545929
TCGA-BH-A0DG	0.9990467429161072	0.0009532820549793541
TCGA-A2-A0YH	0.035738565027713776	0.9642614722251892
TCGA-A2-A25E	0.9992637038230896	0.0007362464093603194
TCGA-BH-A1EX	0.9352574348449707	0.06474259495735168
TCGA-AR-A251	0.8260515332221985	0.17394842207431793
TCGA-BH-A0HA	0.9219021797180176	0.07809782773256302
TCGA-PE-A5DC	0.9783686399459839	0.021631384268403053
TCGA-A1-A0SB	0.9994819760322571	0.000517999695148319
TCGA-A2-A3XT	0.9999809265136719	1.906441138999071e-05
TCGA-D8-A1Y2	0.9960030913352966	0.003996958490461111
TCGA-AO-A1KS	0.9941772222518921	0.0058227297849953175
TCGA-BH-A0BF	0.0010878670727834105	0.9989120960235596
TCGA-A2-A3KD	0.9410797357559204	0.05892021954059601
TCGA-D8-A27I	0.993716299533844	0.006283685099333525
TCGA-EW-A1J5	0.9711592197418213	0.028840791434049606
TCGA-EW-A1IX	0.9997654557228088	0.00023451875313185155
TCGA-AO-A0JC	0.9991355538368225	0.0008645204943604767
TCGA-E9-A54Y	0.9005557894706726	0.0994442030787468
TCGA-D8-A1XA	0.8850411176681519	0.11495886743068695
TCGA-E2-A1B5	0.9997819066047668	0.00021808875317219645
TCGA-A7-A3RF	0.9817142486572266	0.01828569360077381
TCGA-AR-A5QM	0.8879182934761047	0.11208166182041168
TCGA-AR-A24W	0.997864305973053	0.0021357485093176365
TCGA-4H-AAAK	0.08586091548204422	0.9141390323638916
TCGA-AN-A0XT	0.9809523224830627	0.019047724083065987
TCGA-BH-A0BT	0.9999756813049316	2.4295421098941006e-05
TCGA-AR-A0TT	0.014812522567808628	0.9851874113082886
TCGA-LL-A6FR	0.05606788396835327	0.9439321756362915
TCGA-E9-A22H	0.998502254486084	0.001497731194831431
TCGA-EW-A2FS	0.9999034404754639	9.65679791988805e-05
TCGA-D8-A1JN	0.9959729313850403	0.004027044400572777
TCGA-A2-A0YJ	0.022138427942991257	0.9778615832328796
TCGA-A2-A25C	0.3340829908847809	0.6659169793128967
TCGA-EW-A6SD	0.009384460747241974	0.9906156063079834
TCGA-E9-A1R2	0.9923471212387085	0.0076528992503881454
TCGA-D8-A1XD	0.7164284586906433	0.2835714817047119
TCGA-B6-A0WX	0.9996285438537598	0.00037146650720387697
TCGA-B6-A0RT	0.9997833371162415	0.0002166811900679022
TCGA-C8-A278	0.999677300453186	0.0003227154375053942
TCGA-AC-A6IV	0.0012319749221205711	0.9987680315971375
TCGA-GM-A2DK	0.8888131380081177	0.11118684709072113
TCGA-BH-A1ES	0.9926583170890808	0.007341641001403332
TCGA-AC-A6IX	0.03282448649406433	0.9671754837036133
TCGA-A1-A0SO	0.9999163150787354	8.366716065211222e-05
TCGA-GM-A3XL	0.9998821020126343	0.00011782848741859198
TCGA-E2-A1IU	0.9976586103439331	0.002341371960937977
TCGA-LL-A440	0.08907081186771393	0.9109291434288025
TCGA-BH-A5IZ	0.9981306195259094	0.0018694326281547546
TCGA-AR-A5QN	0.9541880488395691	0.045811958611011505
TCGA-A2-A0YD	0.9954468607902527	0.00455312617123127
TCGA-AR-A24L	0.998969316482544	0.001030698069371283
TCGA-A1-A0SJ	0.0006503003532998264	0.9993496537208557
TCGA-BH-A0B3	0.0054368870332837105	0.9945631623268127
TCGA-5L-AAT1	0.9272739887237549	0.07272601872682571
TCGA-3C-AALI	0.0012063576141372323	0.9987936019897461
TCGA-C8-A8HP	0.999437153339386	0.0005628553335554898
TCGA-OL-A5D8	0.04003318399190903	0.9599668383598328
TCGA-BH-A1FN	0.9936234354972839	0.0063765328377485275
TCGA-A2-A1G6	0.1947820484638214	0.8052179217338562
TCGA-B6-A0WV	0.9932278990745544	0.006772149819880724
TCGA-AR-A252	0.9979502558708191	0.002049739472568035
TCGA-E9-A1NF	0.0004892982542514801	0.999510645866394
TCGA-A7-A6VX	0.952558696269989	0.04744134470820427
TCGA-BH-A0C0	0.9998447895050049	0.00015522654575761408
TCGA-BH-A0DP	0.9917158484458923	0.008284112438559532
